"baseball","b-a-s-b-o-l","basbol","","23336",""
"crochet","k-r-o-sh-a","kroza","","23338",""
"crumble","k-r-m-b","krmb","","23348",""
"ranch","r-a-n-ch","ranc","","23358",""
"groundless","g-r-nt-l","grntl","","23404",""
"Vancouver","v-a-n-k-v","vankv","","23417",""
"applicant","a-pl-e-k-nt","apleknt","","23419",""
"kangaroo","k-a-ng-r-u","kangru","","23422",""
"bigot","b-g-t","bgt","","23442",""
"Stockholm","s2-t-o-k-o-m","stokom","","23460",""
"generic","j-e-n-r-k","jenrk","","23464",""
"furtherance","f-th2-n-s","fhns","","23480",""
"detour","td-u-r","tdur","","23488",""
"militant","m-e-l-e-tn","meletn","","23514",""
"indigestion","nt-j-e-sh","ntjez","","23522",""
"crutch","k-r-ch","krc","","23525",""
"inclusive","e-/-s2-v","esv","","23532",""
"juicy","j-u-s-e","juse","","23539",""
"credence","k-r-e-tn-s","kretns","","23546",""
"attorneys","a-tn-e-s","atnes","","23568",""
"edification","e-d-/-f","edf","","23569",""
"diffident","df-tn","dftn","","23570",""
"manifesto","mn-f-e-s2-o","mnfeso","","23585",""
"Toronto","t-o-r-o-nt","toront","","23616",""
"hearse","^-h-\-e-r-s","hers","","23625",""
"irreverent","e-r-e-v","erev","","23656",""
"salesman","s-a-s2-m-a-n","sasman","","23705",""
"brunt","br-nt","brnt","","23720",""
"tile","t-i-l","til","","23727",""
"laity","l-a-t-e","late","","23741",""
"thoroughness","th2-e-n","hen","","23749",""
"disuse","d-s2-e-u","dsu","","23771",""
"coverlet","k-v-l-e","kvle","","23812",""
"immoderate","e-m-o-d","emod","","23858",""
"divergence","df-e-j","dfej","","23865",""
"mirage","m-e-r-a-sh","meraz","","23895",""
"unanswerable","n-a-n-s-b","nansb","","23901",""
"Mansfield","mn-s2-f","mnsf","","23903",""
"burrow","b-u-r-o","buro","","23906",""
"carbide","k-r-b-i","krbi","","23910",""
"defines","df-i-n-s","dfins","","23920",""
"missile","m-s-e-l","msel","","23944",""
"Paraguay","p-/-g","pg","","23958",""
"indestructible","nt-s-/-k-b","ntskb","","23964",""
"bus","b-u-s","bus","","23973",""
"dissipate","d-s-e-p-a","dsepa","","23974",""
"davenport","df-n-p-o-t","dfnpot","","23991",""
"vulnerable","v-u-l-n-e-r-b","vulnerb","","24027",""
"clandestine","k-l-a-nt-e-s2-tn","klantestn","","24032",""
"balances","b-a-l-s","bals","","24048",""
"admixture","a-m-e-x-t-r","amextr","","24078",""
"invective","n-v-e-k-v","nvekv","","24090",""
"mitten","m-e-tn","metn","","24091",""
"fissure","f-e-sh-u","fezu","","24133",""
"fruition","fr-u-e-sh","fruez","","24136",""
"forerunner","fr-n-e2","frne","","24172",""
"deferential","dfr-e-n-sh","dfrenz","","24176",""
"intangible","n-tn-j-b","ntnjb","","24187",""
"helium","^-h-\-e-l-e-m","helem","","24195",""
"colloquy","k-o-l-o-k-e","koloke","","24208",""
"expound","e-s-p-n","xpn","","24210",""
"haphazard","^-h-\-a2-p-a2-s2-a2-d","hapasad","","24225",""
"Algeria","a-l-j","alj","","24228",""
"infliction","n-fl-sh","nflz","","24256",""
"errant","e-r-a-nt","erant","","24285",""
"auto","o-t-o","oto","","24292",""
"locality","l-o-k-/-l","lokl","","24296",""
"cornice","k-o-n-e-s","kones","","24321",""
"observatory","o-b-s-e-/-r-e","obsere","","24329",""
"asceticism","a-s2-e-t-ss","asetss","","24332",""
"catechism","k-a-t-e-k-s2-m","kateksm","","24386",""
"computation","k-p-u-sh","kpuz","","24433",""
"gender","jnt-r","jntr","","24457",""
"doge","d-o-j","doj","","24462",""
"dual","d-u-l","dul","","24469",""
"opposes","o-p-o-s","opos","","24470",""
"ultimo","u-t","ut","","24493",""
"infrequent","n-fr-e-k","nfrek","","24511",""
"complicity","k-pl-/-s","kpls","","24516",""
"skating","s2-k-a-t-\-h","skatg","","24556",""
"humorist","^-h-\-e2-u-m-e2-/-s2-t","heumest","","24567",""
"genealogy","j-e-n-/-o2","jeno","","24572",""
"canary","k-a-n-r-e","kanre","","24582",""
"fount","f-nt","fnt","","24583",""
"oligarchy","o-l-e-g","oleg","","24599",""
"eccentricity","e-s2-n-/-s","esns","","24610",""
"incognito","n-k-n-e-t-o","nkneto","","24741",""
"adieu","a-d-e-u","adu","","24777",""
"habitude","^-h-\-a-b-t-u","habtu","","24811",""
"bullion","b-u-l-n","buln","","24824",""
"meteor","m-e-t-o-r","metor","","24826",""
"didactic","td-a-k-t-e-k","tdaktek","","24831",""
"injures","n-j-u-s","njus","","24848",""
"baton","b-a-tn","batn","","24878",""
"elimination","e-l-e-mn-sh","elemnz","","24879",""
"changeable","ch-b","cb","","24899",""
"frailty","fr-/-l","frl","","24900",""
"epitome","e-p-tm-e","eptme","","24948",""
"inattention","e-n-a-tn-sh","enatnz","","24951",""
"irreproachable","e-r-e-p-r-ch-b","ereprcb","","24952",""
"aground","a-g-r-nt","agrnt","","24963",""
"almond","a-mn-d","amnd","","24980",""
"lengthen","l-e-ng-n","lengn","","24997",""
"Pittsburgh","p-t-s-b","ptsb","","24999",""
"lacy","l-a-s-e","lase","","25004",""
"immature","e-m-a-t-r","ematr","","25007",""
"ermine","e2-mn","emn","","25014",""
"malevolent","m-a-l-e-v","malev","","25015",""
"blizzard","bl-e-s2-a2-d","blesad","","25031",""
"irrespective","e-r-e-s-/-v","eresv","","25034",""
"nude","n-e-u-d","nud","","25044",""
"rip","r-e-p","rep","","25063",""
"carrion","k-a-r-n","karn","","25067",""
"certify","s2-e-df","sedf","","25068",""
"equip","e-k-p","ekp","","25093",""
"befriend","b-fr","bfr","","25107",""
"distraught","^-d-s-/-t","dst","","25109",""
"dormitory","d-o-m-e-t-r-e","dometre","","25110",""
"Labrador","l-a-br","labr","","25120",""
"flippant","fl-e-jnt","flejnt","","25126",""
"malt","m-o-l-t","molt","","25130",""
"corona","k-r-o-n-a","krona","","25144",""
"godless","g-d-l","gdl","","25148",""
"iniquity","e-n-e-k-w-e-t-e","enekwete","","25149",""
"currant","k-r-a-nt","krant","","25204",""
"heron","^-h-\-e-r-n","hern","","25216",""
"P.S.","p-/-s","ps","","25264",""
"dissemble","d-s2-e-m","dsem","","25276",""
"obliterate","o-bl-e-t","oblet","","25287",""
"dissertation","d-s2-e2-t-n","dsetn","","25316",""
"Czech","ch-e-k","cek","","25322",""
"Fairfield","f-a-r-f","farf","","25330",""
"jaunty","j-o-nt-e","jonte","","25332",""
"taut","t-o-t","tot","","25334",""
"imprison","m-p-r-e-s2-n","mpresn","","25344",""
"Argentina","a-jnt","ajnt","","25360",""
"deduce","td-u-s","tdus","","25364",""
"clears","k-l-e-s","kles","","25368",""
"jubilee","j-u-bl-e","juble","","25376",""
"decanter","d-e-k-t-e2","dekte","","25395",""
"delusion","d-l-sh","dlz","","25421",""
"judiciary","j-d-e-sh-r-e","jdezre","","25436",""
"narrowest","n-a-r-o-s2-t","narost","","25451",""
"serial","s-e-r-ea-l","sereal","","25453",""
"infinitesimal","n-f-e-n-e-t-e-s","nfenetes","","25459",""
"garage","g-a-r-a-sh","garaz","","25488",""
"avoids","v-o-e-s","vys","","25493",""
"drastic","d-r-/-s2-t","drst","","25495",""
"infuse","n-f-e-u","nfu","","25496",""
"buoy","b-o-e","by","","25509",""
"gourd","g-o-d","god","","25510",""
"constituency","k-s2-t-u-n-s-e","kstunse","","25525",""
"extraneous","e-s-/-n-u-s","xnus","","25526",""
"mountaineer","mn-tn-r","mntnr","","25538",""
"disparity","d-s-p-/-r","dspr","","25559",""
"intendant","n-tn-tn","ntntn","","25585",""
"formulate","f-m-/-u","fmu","","25626",""
"opponent","o-p-o-n","opon","","25631",""
"endorsed","nt-o-s2-t","ntost","","25696",""
"omnipotence","o-m-n-e-p","omnep","","25729",""
"lien","l-e-n","len","","25751",""
"cerebral","s-e-r-br-l","serbrl","","25770",""
"itinerant","a-tn-r-a-nt","atnrant","","25791",""
"administrator","a-mn-r","amnr","","25829",""
"narrate","n-a-r-a","nara","","25882",""
"culmination","k-l-mn-sh","klmnz","","25893",""
"eel","e-l","el","","25915",""
"locally","l-o-k-ya","lokya","","25942",""
"Honduras","^-h-\-o-nt-r-a-s","hontras","","25979",""
"entrant","n-/-nt","nnt","","25997",""
"facial","f-a-sh-l","fazl","","26015",""
"Houston","^-h-\-e-u-s2-tn","hustn","","26027",""
"amendment","a-mn","amn","","26083",""
"gnaw","n-o","no","","26085",""
"controversial","k-/-v-e-sh","kvez","","26097",""
"inalienable","e-n-a-l-e-n-b","enalenb","","26141",""
"Moscow","m-o-s2-k","mosk","","26147",""
"Albania","o-b-n-a","obna","","26154",""
"atheism","a-th-e-s2-m","ahesm","","26192",""
"potion","p-o-sh","poz","","26233",""
"nitrate","n-i-t-r-a","nitra","","26257",""
"ordain","o-d-a-n","odan","","26300",""
"mundane","mn-d-a-n","mndan","","26308",""
"commensurate","k-mn-sh-u-t","kmnzut","","26317",""
"cooperate","k-o-o-p","koop","","26325",""
"etymology","e-tm-/-o2","etmo","","26346",""
"intestine","nt-e-s2-tn","ntestn","","26386",""
"gladden","g-l-/-n","gln","","26401",""
"forasmuch","f-s22-m-ch","fsmc","","26414",""
"junk","j-nk","jnk","","26490",""
"cancel","k-a-n-s","kans","","26499",""
"monitor","mn-e-t-e2","mnete","","26541",""
"criticize","k-r-e-t-ss","kretss","","26550",""
"domicile","tm-s-e-l","tmsel","","26577",""
"evacuate","e-v-a-k-e-u-t","evakut","","26585",""
"typewriter","t-p-r-i","tpri","","26608",""
"commentator","k-mn-t-a-/-r","kmntar","","26617",""
"audible","o-d-b","odb","","26624",""
"contrite","k-/-t","kt","","26661",""
"ooze","u-s","us","","26664",""
"incorruptible","n-k-o-r-p-b","nkorpb","","26670",""
"gild","g-e-ld","geld","","26770",""
"outfit","a-u-f-e-t","wfet","","26772",""
"composedly","k-p-o-/-t-e","kpote","","26780",""
"discrepancy","d-s2-k-r-e-p","dskrep","","26781",""
"foregone","f-g-n","fgn","","26814",""
"ascendant","a-s2-e-n-tn","asentn","","26825",""
"fallacious","f-a-l-a-sh","falaz","","26833",""
"contemporaneous","k-tm-p-r-a-n-u-s","ktmpranus","","26872",""
"manufactory","mn-f-a-k-t-r-e","mnfaktre","","26876",""
"specify","s-p-e-s","spes","","26880",""
"orthography","o-th2-/-o-e","ohy","","26904",""
"asparagus","a-s-p-a-r-g","asparg","","26911",""
"ornate","o-n-a-t","onat","","26921",""
"stenographer","s2-tn-/-o-r","stnor","","26948",""
"existent","e-ss-/-nt","xsnt","","26955",""
"inertia","e-n-e-r-sh-ea","enerzea","","26956",""
"ledger","l-e2-j-e2","leje","","26958",""
"mazes","m-a-ss","mass","","26971",""
"cursory","k-r-s-r-e","krsre","","26990",""
"definitive","df-n-e-df","dfnedf","","26991",""
"salve","s2-a-v","sav","","27064",""
"Tripoli","t-r-e-pl-e","treple","","27066",""
"incorporation","n-k-r-p","nkrp","","27078",""
"cistern","ss2-tn","sstn","","27108",""
"decipher","d-s2-i-f","dsif","","27109",""
"depose","d-p-o","dpo","","27132",""
"carol","k-a-r-l","karl","","27175",""
"inquires","n-k-i-s","nkis","","27179",""
"bequest","b-k-e-s","bkes","","27184",""
"gentility","jnt-/-l","jntl","","27221",""
"insurance","n-sh","nz","","27340",""
"cynic","s2-e-n-e-k","senek","","27348",""
"convivial","k-v-e-v","kvev","","27377",""
"extravagance","e-s-/-v-n-s","xvns","","27399",""
"dentist","tn-t-e-s","tntes","","27418",""
"benevolence","b-n-e-v","bnev","","27431",""
"nomenclature","n-o-mn-k","nomnk","","27435",""
"lung","l-ng","lg","","27455",""
"monsoon","mn-s2-n","mnsn","","27466",""
"instability","n-s2-t-/-b","nstb","","27506",""
"gunwale","g-n-l","gnl","","27524",""
"mammoth","mn-o-th2","mnoh","","27526",""
"reek","r-e-k","rek","","27556",""
"Cuba","k-e-u-b-a","kuba","","27559",""
"babe","b-a-b","bab","","27564",""
"nutrition","n-u-t-r-e-sh","nutrez","","27575",""
"extortion","e-s2-t-o-sh","xtoz","","27602",""
"monotone","mn-o-t-o-n","mnoton","","27604",""
"insubordination","n-s2-o-tn-sh","nsotnz","","27616",""
"divulge","dfl-j","dflj","","27624",""
"colloquial","k-o-l-o-k","kolok","","27632",""
"cellular","s-e-l-l-r","sellr","","27694",""
"deadened","td-nt","tdnt","","27701",""
"intrust","nt-r-s","ntrs","","27721",""
"jollity","j-/-l","jl","","27754",""
"shortage","sh-/-j","zj","","27759",""
"grasshopper","g-r-a-s2-o-p-r","grasopr","","27767",""
"dividend","df-tn","dftn","","27788",""
"orchard","o-ch-e2-d","oced","","27792",""
"progressive","p-r-g-v","prgv","","27796",""
"jeopardy","j-e-p-a2-d-e","jepade","","27800",""
"jockey","j-o-k-e","joke","","27801",""
"buxom","b-u-x-m","buxm","","27821",""
"motherless","m-u-th-l","muhl","","27826",""
"litigation","l-e-t-sh","letz","","27837",""
"stylish","s2-t-i2-/-sh","stiz","","27841",""
"credits","k-r-e-s","kres","","27848",""
"gasoline","g-a-s-l-e-n","gaslen","","27892",""
"Antwerp","a-nt-e-r-p","anterp","","27953",""
"disproportionate","d-s-p-r","dspr","","27968",""
"metamorphosis","m-e-tm-o-r-f-s2s","metmorfss","","27970",""
"inculcate","n-k-u-l","nkul","","27984",""
"scenic","s2-e-n-e-k","senek","","27988",""
"surmount","s2-e-mn-t","semnt","","27997",""
"drudge","d-r-j","drj","","28060",""
"Bolivia","b-o-l","bol","","28065",""
"anticipation","a-/-s-e-p-sh","asepz","","28070",""
"homicide","^-h-\-o-m-s-i","homsi","","28075",""
"nitric","n-i-t-r-k","nitrk","","28077",""
"tinder","tn-d-r","tndr","","28100",""
"indigent","nt-jnt","ntjnt","","28126",""
"exult","e-s2-u-t","xut","","28143",""
"equable","e-k-b","ekb","","28164",""
"hilarious","^-h-\-i-l-a-r","hilar","","28165",""
"mausoleum","m-o-s2-o-l-e-m","mosolem","","28208",""
"lugubrious","l-u-g-u-b","lugub","","28218",""
"absurdity","a-b-s2-e2-td-e","absetde","","28222",""
"disprove","d-s-p-r-v","dsprv","","28227",""
"orifice","o-r-e-f-e-s","orefes","","28244",""
"lading","l-a-d-\-h","ladg","","28345",""
"goad","g-o-d","god","","28349",""
"abeyance","a-b-a-n-s","abans","","28376",""
"dispassionate","d-s-p-a-sh-a-t","dspazat","","28377",""
"exponent","e-s-p-o-n","xpon","","28378",""
"restaurant","r-e-s2-t-r-a-nt","restrant","","28380",""
"bonus","b-o-n-u-s","bonus","","28391",""
"hysterics","^-h-\-e-s2-t-r-k-s","hestrks","","28413",""
"admonish","a-nm-sh","anmz","","28456",""
"conquers","k-k-r-s","kkrs","","28468",""
"incorporate","n-k-r-p","nkrp","","28479",""
"insecure","n-s2-e-k-r","nsekr","","28511",""
"itch","e-ch","ec","","28512",""
"overt","o-/-t","ot","","28523",""
"bespeak","b-s-p","bsp","","28533",""
"inorganic","e-n-o-g-n-e-k","enognek","","28541",""
"cupola","k-e-u-pl-a","kupla","","28567",""
"inexcusable","n-e-s2-k-e-u-b","neskub","","28576",""
"auctioneer","o-k-sh-e2","okze","","28582",""
"emigrate","e-m-e-g","emeg","","28585",""
"intimidate","n-tm-e-td","ntmetd","","28587",""
"merge","m-e-j","mej","","28607",""
"circumspect","s2-/-s2-p","ssp","","28617",""
"navigate","n-a-v-g","navg","","28619",""
"intrusive","n-/-s2-v","nsv","","28626",""
"disproportion","d-s-p-r","dspr","","28632",""
"deceives","d-s2-e-s2","dses","","28639",""
"doctrinal","d-o-k-t-/-l","doktl","","28658",""
"nerveless","n-e-v-l","nevl","","28667",""
"cornet","k-o-n-e-t","konet","","28711",""
"ineffective","n-f-k-v","nfkv","","28720",""
"impurity","m-p-/-r","mpr","","28731",""
"stateroom","s2-t-r-m","strm","","28784",""
"kerosene","k-e-r-s2-e-n","kersen","","28799",""
"indubitable","nt-b-t-b","ntbtb","","28842",""
"exactitude","e-s2-a-k-t-e-t","xaktet","","28877",""
"demolish","tm-o-l-sh","tmolz","","28890",""
"estuary","e-s2-t-r-e","estre","","28892",""
"diagonal","d-i-g","dig","","28916",""
"indeterminate","n-e2-mn-a-t","nemnat","","28927",""
"jewel","j-u-l","jul","","28957",""
"stockholders","s2-t-o-o-ld-r-s","stooldrs","","28976",""
"brackish","br-a-k-sh","brakz","","28993",""
"mattresses","m-a-t-r-e-ss","matress","","28997",""
"nutriment","n-u-t-r-e-m","nutrem","","28998",""
"cabal","k-a-bl","kabl","","29020",""
"melon","m-e-l-n","meln","","29027",""
"canteen","k-t-e-n","kten","","29051",""
"elicit","e-l-e-s2-t","elest","","29061",""
"divergent","df-e-jnt","dfejnt","","29079",""
"overwrought","o-/-r-o-t","orot","","29084",""
"linden","l-e-n-tn","lentn","","29165",""
"clipping","k-l-e-p-\-h","klepg","","29188",""
"grandiose","g-/-o-s","gos","","29215",""
"excise","e-s-i-s","xis","","29257",""
"abed","a-b-d","abd","","29271",""
"fender","f-e-nt-r","fentr","","29274",""
"procedure","p-r-s-e-/-r","prser","","29279",""
"adage","a-d-j","adj","","29287",""
"chintz","ch-e-nt-s","cents","","29288",""
"cordage","k-o-d-j","kodj","","29289",""
"evolve","e-v-o-l","evol","","29321",""
"algebra","a-l-j","alj","","29470",""
"Sudan","s2-u-d-a-n","sudan","","29486",""
"defunct","df-nk","dfnk","","29560",""
"irascible","i-r-a-s-b","irasb","","29563",""
"demarcation","tm-r-k-a-sh","tmrkaz","","29612",""
"misuse","m-s2-e-u","msu","","29618",""
"crucible","k-r-s-b","krsb","","29629",""
"affectionately","a-f-k-sh-a-t-e","afkzate","","29642",""
"dent","tn-t","tnt","","29658",""
"ditty","td-e","tde","","29676",""
"graduation","g-r-a-d-e-u-sh","graduz","","29678",""
"concentric","k-s2-n-/-k","ksnk","","29686",""
"measureless","m-e-sh-u-l","mezul","","29688",""
"groundwork","g-r-nt-r-k","grntrk","","29707",""
"maidenly","m-a-tn-e","matne","","29728",""
"construe","k-^-s2","ks","","29737",""
"delinquent","d-l-e-nk","dlenk","","29758",""
"graceless","g-r-a-s-l","grasl","","29774",""
"idiot","e-d-o-t","edot","","29815",""
"lineal","l-e-n-l","lenl","","29816",""
"biology","b-/-o2","bo","","29826",""
"evoke","e-v-k","evk","","29837",""
"Newark","n-u-r-k","nurk","","29843",""
"shipment","sh-m","zm","","29853",""
"uncivilized","n-s2-v-i-s2-d","nsvisd","","29885",""
"munificent","m-u-n-f-e-s2-nt","munfesnt","","29931",""
"nefarious","n-e-f-a-r","nefar","","29932",""
"shorthand","sh-/-nt","znt","","29935",""
"gymnastic","j-e-m-n-/-s2-t","jemnst","","29944",""
"idyllic","a-d-l-k","adlk","","29945",""
"inverse","n-v-e-s","nves","","29946",""
"chamois","sh-a-m-e","zame","","29956",""
"opal","o-pl","opl","","29959",""
"detract","d-/-k","dk","","29989",""
"hereunto","^-h-\-e2-n-t-u","hentu","","30014",""
"functional","f-nk-/-l","fnkl","","30086",""
"tariff","t-a-r-f","tarf","","30109",""
"violins","v-i-l-e-n-s","vilens","","30132",""
"Omaha","o-m-a","oma","","30153",""
"augury","o-g-r-e","ogre","","30168",""
"larboard","l-a-r-b-o-d","larbod","","30170",""
"mistletoe","m-s-e-l-t-o","mselto","","30171",""
"muscle","m-u-s-l","musl","","30172",""
"facsimile","f-a-k-s2-e-m","faksem","","30247",""
"ordinarily","o-tn-e","otne","","30264",""
"bibliography","b-e-b-/-o-e","beby","","30279",""
"indistinguishable","nt-s2-t-b","ntstb","","30326",""
"joyless","j-o-e-l","jyl","","30340",""
"untenable","n-tn-b","ntnb","","30354",""
"cyclone","s2-i-k-l-o-n","siklon","","30398",""
"multifarious","m-u-/-f-a-r","mufar","","30401",""
"debility","d-/-b","db","","30412",""
"dimple","tm-pl","tmpl","","30413",""
"lynx","l-e-nk-s","lenks","","30426",""
"nondescript","n-o-nt-s2-k-r","nontskr","","30441",""
"presentable","p-r-b","prb","","30454",""
"hyacinth","^-h-\-i-s2-e-n-th","hisenh","","30490",""
"memento","m-e-mn-t-o","memnto","","30495",""
"indelicate","nt-e-l-e-k","ntelek","","30525",""
"milliner","m-e2-l-e2-n-e2","melene","","30562",""
"orgy","o-j-e","oje","","30563",""
"parade","p-a-r-a-d","parad","","30564",""
"ordination","o-tn-sh","otnz","","30573",""
"howsoever","a-u-s2-o-v","wsov","","30616",""
"pneumonia","n-u-mn-ea","numnea","","30620",""
"Huntington","u-nt-/-tn","unttn","","30638",""
"emanation","e-mn-sh","emnz","","30655",""
"headless","^-h-\-e-d-l","hedl","","30692",""
"curriculum","k-u-r-e-k","kurek","","30703",""
"legislate","l-j","lj","","30706",""
"testimonial","t-e-s2-tm","testm","","30731",""
"furlough","fl-o","flo","","30757",""
"bilious","b-e-l-u-s","belus","","30811",""
"almanac","o-mn-a-k","omnak","","30819",""
"locust","l-o-k-u-s","lokus","","30870",""
"mastiff","m-a-s2-df","masdf","","30871",""
"cube","k-e-u-b","kub","","30908",""
"indivisible","n-df-e-s-b","ndfesb","","30952",""
"campus","k-a-m-p-u-s","kampus","","30962",""
"impel","m-pl","mpl","","30983",""
"merchandise","m-e-ch-d-i-s","mecdis","","31018",""
"alum","a-l-m","alm","","31031",""
"manganese","m-a-ng-a-n-e-s","manganes","","31038",""
"Shanghai","sh-a-ng-i","zangi","","31040",""
"autonomy","o-tn-o-m-e","otnome","","31055",""
"mortify","m-o-df","modf","","31059",""
"demise","tm-i-s","tmis","","31076",""
"diploma","d-pl-o-m-a","dploma","","31082",""
"Winnipeg","u-e-n-p-g","uenpg","","31114",""
"elementary","e-l-e-m-r-e","elemre","","31133",""
"irruption","e-r-p-sh","erpz","","31138",""
"asset","a-s2-e-t","aset","","31158",""
"constrain","k-s2-/-n","ksn","","31159",""
"molecular","m-o-l-e-k","molek","","31172",""
"infest","n-f-e-s","nfes","","31183",""
"congestion","k-j-e-sh","kjez","","31208",""
"demur","tm-u-r","tmur","","31216",""
"emancipate","e-mn-s-e-p","emnsep","","31268",""
"demagogue","tm-a-g","tmag","","31300",""
"genially","j-e-n-ye","jenye","","31304",""
"deride","d-r-i","dri","","31309",""
"freshman","fr-e-sh-m-a-n","frezman","","31310",""
"guerdon","g-e2-tn","getn","","31369",""
"brigantine","br-e-g-a-n-tn","bregantn","","31393",""
"housework","^-h-\-u-s-r-k","husrk","","31396",""
"nurture","n-e2-t-r","netr","","31409",""
"accommodation","a-k-d-sh","akdz","","31448",""
"banker","b-a-nk-e2","banke","","31452",""
"embodies","m-b-o-s","mbos","","31454",""
"Indianapolis","nt-a-n-a-p","ntanap","","31468",""
"causal","k-s2-l","ksl","","31483",""
"affidavit","a-f-df","afdf","","31512",""
"counterbalance","k-/-b-a-l","kbal","","31514",""
"Uruguay","u-r-u-g","urug","","31534",""
"moneyed","mn-e-d","mned","","31551",""
"eerie","e-r-e","ere","","31577",""
"Maltese","m-o-l-t-e-s","moltes","","31620",""
"dimension","tm-e-n-sh","tmenz","","31625",""
"belie","bl-i","bli","","31651",""
"calamitous","k-a-l-a-m","kalam","","31652",""
"narcotic","n-a-r-k-/-a","narka","","31660",""
"patronage","p-t-r-n-j","ptrnj","","31691",""
"insecurity","n-s2-e-k-/-r","nsekr","","31701",""
"footlights","f-u-t-l-i-s","futlis","","31717",""
"obloquy","o-bl-o-k-e","obloke","","31768",""
"Baltimore","b-o-l","bol","","31801",""
"archery","a2-ch-e2-e","acee","","31819",""
"fatuous","f-a-t-u-u-s","fatuus","","31823",""
"kindergarten","k-e-n-g-a2-tn","kengatn","","31855",""
"climatic","k-l-i-m-/-a","klima","","31922",""
"autocrat","o-t-o-k","otok","","31956",""
"hereof","^-h-\-e-r-o","hero","","31990",""
"blackmail","bl-a-k-m-a","blakma","","31997",""
"hydraulic","^-h-\-i-d-r-o-l","hidrol","","32067",""
"Paterson","p-t-r-s2-n","ptrsn","","32110",""
"evangelist","e-v-a-n-j-/-s2-t","evanjst","","32142",""
"calf","k-a-f","kaf","","32147",""
"changeless","ch-l","cl","","32162",""
"overalls","o-/-o-s","oos","","32173",""
"expeditious","e-s-p-t-e-sh","xptez","","32184",""
"conglomerate","k-g-l-o-m","kglom","","32200",""
"decoction","d-e-k-k-sh","dekkz","","32239",""
"booked","b-k-t","bkt","","32272",""
"escutcheon","e-s2-k-ch-n","eskcn","","32274",""
"escapade","e-s2-k-p-a","eskpa","","32287",""
"publisher","p-b-/-r","pbr","","32323",""
"illegible","e-l-e-j-b","elejb","","32351",""
"immigrant","e-m-e-g","emeg","","32462",""
"corroborate","k-r-o-b","krob","","32481",""
"inquietude","n-k-i-t-u","nkitu","","32484",""
"epicurean","e-p-k-r-n","epkrn","","32493",""
"churl","ch-e-r-l","cerl","","32511",""
"indissoluble","nt-s2-o-l-b","ntsolb","","32514",""
"dilatory","d-e-l-a-t-r-e","delatre","","32525",""
"intractable","n-/-k-b","nkb","","32546",""
"demolition","tm-o-l-e-sh","tmolez","","32554",""
"inextricable","n-e-s-/-k-b","neskb","","32559",""
"lathe","l-a-th","lah","","32575",""
"northeastern","n-e-s2-tn","nestn","","32590",""
"accountant","a-k-tn","aktn","","32629",""
"condense","k-tn-s","ktns","","32630",""
"undergraduate","u-/-g-r-a-d-e-u-t","ugradut","","32670",""
"mush","m-sh","mz","","32699",""
"apocalypse","a-p-k-l-e-p-s","apkleps","","32777",""
"geniality","j-e-n-/-l","jenl","","32850",""
"hydrochloric","^-h-\-i-d-r-o-k-l-r-k","hidroklrk","","32851",""
"contumely","k-t-u-m-e","ktume","","32933",""
"jocund","j-o-k-nt","joknt","","32948",""
"oneness","o-n-n-e-s","onnes","","32950",""
"soap","s2-o-p","sop","","32956",""
"beneficiary","b-f-e-sh","bfez","","32966",""
"loquacious","l-o-k-w-a-sh","lokwaz","","32999",""
"northwestern","n-u-e-s2-tn","nuestn","","33009",""
"amplitude","a-m-p-t-u","amptu","","33025",""
"encircle","n-s2-e-k-l","nsekl","","33055",""
"antimony","a-/-mn-e","amne","","33067",""
"habitat","^-h-\-a-b-t-a-t","habtat","","33087",""
"centrifugal","s2-n-/-f","snf","","33102",""
"aqueous","a-k-w-e-u-s","akwus","","33116",""
"exasperate","e-s-a-s-p","xasp","","33122",""
"Ecuador","e-k-d-o-r","ekdor","","33175",""
"cute","k-e-u-t","kut","","33180",""
"laud","l-o-d","lod","","33211",""
"apotheosis","a-p-th-e-ss","aphess","","33213",""
"inaugural","e-n-o-g-/-l","enogl","","33217",""
"marital","m-a-r-e-t-l","maretl","","33233",""
"custodian","k-u-s2-td-ea-n","kustdean","","33261",""
"Lithuania","l-e-th-a-n-a","lehana","","33274",""
"coadjutor","k-o-a-j-t-e2","koajte","","33276",""
"extirpate","e-s-/-p-a-t","xpat","","33279",""
"liner","l-a-n-e2","lane","","33282",""
"deducted","td-u-k-t","tdukt","","33293",""
"garbage","g-a-r-b-j","garbj","","33295",""
"collegiate","k-o-l-e-j-ea-t","kolejeat","","33309",""
"tandem","tn-tm","tntm","","33338",""
"maternity","m-a-tn-t-e","matnte","","33382",""
"Yukon","e-u-k-n","ukn","","33423",""
"absolutism","a-b-s2-o-s2-m","absosm","","33424",""
"crestfallen","k-r-e-s2-t-f-o-n","krestfon","","33465",""
"juxtaposition","j-u-s2-t-p-o","justpo","","33487",""
"extempore","e-s2-tm-p-r-e","xtmpre","","33498",""
"illumine","e-l-u-mn","elumn","","33511",""
"rental","r-e-nt-l","rentl","","33518",""
"carnivorous","k-r-n-e-v","krnev","","33526",""
"erudite","e-r-u-d-i","erudi","","33529",""
"germinal","j-e2-mn-l","jemnl","","33549",""
"sleeves","s-l-e-v-s2","slevs","","33577",""
"fulsome","f-u-s2-m","fusm","","33585",""
"devolve","df-o-l","dfol","","33599",""
