"geography","j-/-o-e","","","10201",""
"enclosure","n-k-/-r","","","10204",""
"mornings","mn-/-s","","","10218",""
"indescribable","nt-s2-k-r-b","","","10224",""
"Windsor","u-e-n-s2-o-r","","","10225",""
"actress","a-k-r-e-s","","","10234",""
"Albany","o-b-n-e","","","10237",""
"presbyterian","p-r-e-s-b","","","10243",""
"avarice","a-v-a-r-e-s","","","10244",""
"Jesuit","j-e-s2-u-t","","","10266",""
"expired","e-s-p-i-/-t","","","10268",""
"battalion","b-t-a-l-n","","","10271",""
"dearer","d-e2-/-r","","","10282",""
"exaggeration","e-s-a-j","","","10284",""
"impenetrable","m-jnt-r-b","","","10292",""
"eats","e-t-s","","","10298",""
"contradict","k-/-d-e-k","","","10299",""
"investment","n-v-e-s2-m","","","10300",""
"alcohol","a-l-k-o-l","","","10304",""
"relatively","r-e-l-e","","","10323",""
"drug","d-r-u-g","","","10326",""
"willingness","l-^-h-\-n-e-s","","","10333",""
"heiress","a-r-e-s","","","10342",""
"medal","m-e-d-l","","","10343",""
"opium","o-p-e-m","","","10346",""
"Ceylon","s-e-l-o-n","","","10362",""
"core","k-o-r","","","10375",""
"ethical","e-th-/-k","","","10381",""
"respond","r-s-jnt","","","10386",""
"primarily","p-r-i-m-r-ye","","","10391",""
"thereon","th2-o-n","","","10411",""
"headache","^-h-\-e-d-a-k","","","10428",""
"liar","l-ia-r","","","10434",""
"clerical","k-l-r-/-k","","","10439",""
"custody","k-u-s2-td-e","","","10443",""
"cemetery","s2-e-m-e-t-r-e","","","10449",""
"biography","b-/-o-e","","","10480",""
"conceded","k-s2-e-td","","","10496",""
"theater","th-e-t-e2","","","10505",""
"consume","k-s2-m","","","10506",""
"pump","p-m-p","","","10510",""
"intuition","nt-e-u-sh","","","10525",""
"package","p-a-k-j","","","10526",""
"administrative","a-mn-e-s-/-v","","","10527",""
"divined","df-i-nt","","","10531",""
"lumber","l-m-b-r","","","10535",""
"astray","a-s2-t-r-a","","","10543",""
"austere","o-s2-t-e2","","","10553",""
"elastic","e-l-/-s2-t","","","10554",""
"corporal","k-r-p-r-l","","","10563",""
"meddle","m-e-d-l","","","10564",""
"cylinder","s-e-l-e-nt","","","10575",""
"sample","s2-a-m-p","","","10577",""
"unanimous","e-u-n-a-n","","","10581",""
"provides","p-r-v-i-s","","","10583",""
"gazette","g-a-s2-e-t","","","10584",""
"junior","j-n-r","","","10587",""
"cheery","ch-e2-e2","","","10591",""
"lawless","l-o1-l","","","10596",""
"administer","a-mn-e-s","","","10597",""
"investigate","n-v-e-s2-g","","","10599",""
"momentous","m-o-m-u-s","","","10604",""
"oxygen","o-s-e-j","","","10613",""
"adjective","a-j-k-v","","","10625",""
"forwarded","f-td","","","10628",""
"mystical","m-/-s2-t-l","","","10637",""
"snap","s2-n-a-p","","","10639",""
"collision","k-o-l-e-sh","","","10640",""
"overlook","o-/-l-u","","","10648",""
"unaccountable","n-a-k-t-b","","","10662",""
"metropolis","m-e-/-p","","","10666",""
"alms","a-m-s","","","10671",""
"bitten","b-e-tn","","","10672",""
"emphatic","m-f-/-a","","","10673",""
"initial","e-n-e-sh","","","10682",""
"shipped","sh-/-t","","","10683",""
"Montreal","m-o-nt","","","10685",""
"contention","k-tn-sh","","","10688",""
"drill","d-r-e-l","","","10701",""
"establishments","e-s2-t-b-m-s","","","10703",""
"averse","a-v-e-r-s","","","10706",""
"mathematics","m-a-th-/-a-s","","","10709",""
"commandment","k-m-a-n-m","","","10714",""
"installed","n-s2-t-o-ld","","","10722",""
"bidden","b-tn","","","10723",""
"favors","f-as","","","10739",""
"confound","k-f-nt","","","10741",""
"handy","^-h-\-nt-e","","","10750",""
"Memphis","mn-f-e-s","","","10756",""
"unfair","n-f-a-r","","","10760",""
"civility","s2-v-/-l","","","10766",""
"fiend","f-e-nt","","","10778",""
"modestly","m-o-d-e-s-e","","","10790",""
"receipts","r-e-s-e-s","","","10800",""
"statistics","s2-t-/-s2-t-s","","","10801",""
"adult","a-d-u-l","","","10802",""
"nightfall","n-i-f-u","","","10803",""
"economical","e-k-/-k","","","10804",""
"acquaint","a-k-a","","","10811",""
"mat","m-a-t","","","10815",""
"analogous","a-n-a-l-g","","","10819",""
"ceaseless","s-e-s-l","","","10820",""
"unaware","n-a-r","","","10839",""
"peas","p-e-s","","","10843",""
"temperance","tm-p","","","10844",""
"weed","u-e-d","","","10865",""
"partition","p-t-sh","","","10869",""
"outlook","a-u-l-u","","","10887",""
"oar","o-r","","","10892",""
"index","nt-e-x","","","10894",""
"gum","g-m","","","10902",""
"sometime","s2-tm","","","10908",""
"Calcutta","k-a-l-k","","","10912",""
"Jehovah","j-o-v-a","","","10920",""
"inherit","e-n-^-h-\-e2-t","","","10928",""
"butt","b-u-t","","","10930",""
"interminable","n-/-mn-b","","","10933",""
"officially","o-sh-ye","","","10934",""
"insanity","n-s-/-nt","","","10937",""
"cedar","s2-e2-d-e2","","","10942",""
"defied","df-i-d","","","10944",""
"heresy","^-h-\-e-r-s-e","","","10957",""
"intimation","n-tm-sh","","","10958",""
"hypocrisy","^-h-\-e-p-k-r-s-e","","","10962",""
"continuation","k-tn-e-u-sh","","","10967",""
"dispense","d-s-p-n-s","","","10968",""
"lessen","l-e-s2-n","","","10970",""
"cheaper","ch-e-p-r","","","10978",""
"minimum","mn-e-mn","","","10985",""
"moan","m-o-n","","","11005",""
"pins","p-e-n-s","","","11006",""
"aisle","i-l","","","11008",""
"adjustment","a-j-u-s2-m","","","11010",""
"rag","r-a-g","","","11012",""
"renewal","r-e-n-u-l","","","11023",""
"engineers","n-j-n-ye2","","","11029",""
"psychology","s2-i-k-/-o2","","","11034",""
"accommodate","a-k-td","","","11045",""
"ingratitude","n-g-r-a-t","","","11046",""
"courier","k-u-r-e-r","","","11047",""
"rained","r-a-nt","","","11064",""
"marquise","m-a-r-k-e-s","","","11070",""
"assemblage","a-s2-e-m-j","","","11073",""
"wholesale","^-h-\-o-l-s-a","","","11078",""
"audacious","o-d-a-sh","","","11084",""
"oblivion","o-b-l-e-v-n","","","11092",""
"correction","k-r-sh","","","11100",""
"doll","d-o-l","","","11103",""
"scare","s2-k-a-r","","","11114",""
"outlet","a-u-l-e","","","11118",""
"ordinance","o-tn-a-n-s","","","11123",""
"alight","a-l-i","","","11125",""
"luxuriant","l-u-x-nt","","","11142",""
"morsel","m-o-s-e-l","","","11157",""
"dealer","d-e2-/-r","","","11160",""
"avert","a-v-e2-t","","","11165",""
"satisfactorily","s2-a-t-e","","","11182",""
"helpful","^-h-\-e-l-p-f","","","11191",""
"capricious","k-a-p-r-e-sh","","","11192",""
"azure","a-sh-u","","","11200",""
"Glasgow","g-l-a-s2-g","","","11216",""
"arrogance","a-r-o-g","","","11238",""
"delirium","d-l-e-r-m","","","11239",""
"ownership","o-n-e2-/-sh","","","11241",""
"lire","l-e-r-a","","","11246",""
"Rochester","r-o-ch","","","11257",""
"conform","k-f-m","","","11261",""
"copious","k-o-p-u-s","","","11277",""
"lease","l-e-s","","","11309",""
"heritage","^-h-\-e2-t-j","","","11324",""
"defiant","df-i-nt","","","11325",""
"ordeal","o-d-e-l","","","11332",""
"exclaim","e-s-/-m","","","11340",""
"reliable","r-e-l-i-b","","","11348",""
"heartless","^-h-\-a2-t-l","","","11362",""
"marsh","m-a-r-sh","","","11365",""
"maturity","m-a-t-/-r","","","11378",""
"berth","b-e-r-th","","","11384",""
"demonstrate","tm-o-n-s","","","11386",""
"percentage","p-r-s2-e-nt-j","","","11390",""
"calendar","k-a-l-e-nt","","","11391",""
"innate","e-n-a-t","","","11392",""
"patterns","p-a-tn-s","","","11397",""
"subscription","s-s2-k-r-sh","","","11403",""
"electrical","e-l-/-k-l","","","11410",""
"supervision","s-/-v-e-sh","","","11412",""
"incorporated","n-k-r-p-/-t","","","11430",""
"inspect","n-s-p","","","11442",""
"nut","n-u-t","","","11447",""
"finance","f-e-n-a-n-s","","","11454",""
"midday","m-e-d-a","","","11460",""
"magician","m-a-j-e-sh","","","11487",""
"inquisitive","n-k-e-s2-df","","","11491",""
"recital","r-s2-i-t-l","","","11513",""
"ache","a-k","","","11515",""
"dexterity","d-e-x-/-r","","","11528",""
"carbon","k-r-b-n","","","11547",""
"timidity","tm-e-td-e","","","11553",""
"inaccessible","n-a-k-s2s","","","11564",""
"lyric","l-e-r-k","","","11575",""
"township","t-n-/-sh","","","11586",""
"auspicious","o-s-p-e-sh","","","11587",""
"construct","k-s2-/-k","","","11588",""
"poultry","p-o-l-t-r-e","","","11610",""
"tank","t-a-nk","","","11614",""
"Lancaster","l-a-nk-a-s","","","11638",""
"epistle","e-p-e-s-l","","","11648",""
"arrogant","a-r-o-g","","","11652",""
"Bohemia","b-o-e-m-ea","","","11658",""
"merciless","m-e-r-s2-e2-l","","","11663",""
"considerate","k-s-/-a-t","","","11665",""
"customer","k-u-s-r","","","11687",""
"cushion","k-u-sh","","","11696",""
"misunderstanding","m-s-/-s2-t-\-h","","","11704",""
"cessation","ss-a-sh","","","11708",""
"anniversary","a-n-e-v","","","11712",""
"misunderstood","m-s-/-s2-t-u","","","11721",""
"aggregate","ya-/-g","","","11723",""
"mercury","m-e-r-k-r-e","","","11734",""
"impracticable","m-p-r-k-t-b","","","11737",""
"inconvenient","n-k-v-e-n","","","11738",""
"inexhaustible","n-e-s2-o-s-b","","","11743",""
"incomparable","n-k-p-r-b","","","11756",""
"petroleum","p-t-r-l-m","","","11757",""
"vacation","v-a-k-a-sh","","","11768",""
"numberless","n-u-m-l","","","11775",""
"tinge","tn-j","","","11778",""
"Cincinnati","s2-e-n-s2-e-n","","","11786",""
"ether","e-th2","","","11796",""
"invest","n-v-e-s","","","11814",""
"conveyance","k-v-a-n-s","","","11815",""
"omission","o-m-sh","","","11816",""
"abolish","a-b-o-l-sh","","","11825",""
"atrocious","a-t-r-o-sh","","","11826",""
"vocal","v-k-l","","","11835",""
"glee","g-l-e","","","11836",""
"abstain","a-b-s2-tn","","","11840",""
"export","e-s-p-o-t","","","11846",""
"bases","b-a-ss","","","11853",""
"mutiny","m-u-tn-e","","","11866",""
"ulster","us2-t-e2","","","11873",""
"oats","o-t-s","","","11886",""
"utilize","e-u-t-l-i-s","","","11907",""
"flannel","f-l-a-n-l","","","11930",""
"lore","l-o-r","","","11935",""
"northwest","nu","","","11944",""
"amen","a-mn","","","11950",""
"ceremonial","s2-e2-mn-l","","","11955",""
"awed","o-d","","","11959",""
"bolts","b-o-l-t-s","","","11965",""
"gleams","g-l-e-m-s","","","11969",""
"boiler","b-o-e-l-r","","","11972",""
"abnormal","a-b-n-o-m-l","","","11983",""
"timely","tm-e","","","11986",""
"inhabitant","e-n-^-h-\-a-b-tn","","","11991",""
"mortar","m-o-t-e2","","","11996",""
"frames","f-r-a-m-s","","","11998",""
"apprentice","a-p-r-e-nt-e-s","","","12004",""
"masterpiece","m-a-s-p-e-s","","","12009",""
"furthermore","t-th2-m","","","12029",""
"muzzle","m-u-s-l","","","12032",""
"leaden","l-e-tn","","","12035",""
"extant","e-s2-t-a-nt","","","12049",""
"thanking","th-^->-^-h-\-\-h","","","12051",""
"unsatisfactory","n-s2-a-t","","","12059",""
"haul","^-h-\-o-l","","","12071",""
"inexorable","n-e-s2-o-r-b","","","12091",""
"masterly","m-a-s-e","","","12093",""
"ferocity","f-e-r-/-s","","","12099",""
"Panama","p-n-a-m-a","","","12101",""
"circumference","s2-/-f","","","12106",""
"girlish","g-l-sh","","","12108",""
"savings","s2-a-v-/-s2","","","12121",""
"lovingly","l-v-/-e","","","12128",""
"Atlanta","a-t-l-a","","","12134",""
"cement","s2-e-mn-t","","","12144",""
"chemistry","k-e-m-e-s-r-e","","","12179",""
"dictate","d-e-k-t-a","","","12182",""
"scout","s2-k-a-u-t","","","12189",""
"heedless","^-h-\-e-d-l","","","12197",""
"outlined","a-u-l-a-nt","","","12206",""
"forenoon","f-n-u-n","","","12223",""
"congratulations","k-g-r-a-t-/-u-sh-s","","","12228",""
"oratory","o-r-a-t-r-e","","","12240",""
"everyday","e-v-e-d-a","","","12241",""
"inexperienced","n-s-p-e-/-t","","","12248",""
"impassioned","m-p-a-sh-d","","","12249",""
"automatic","o-tm-/-a","","","12262",""
"foretold","f-t-o","","","12273",""
"kindest","k-i-s2-t","","","12274",""
"greetings","g-r-e-t-/-s","","","12281",""
"conclusive","k-k-v","","","12290",""
"curl","k-r-l","","","12303",""
"desertion","d-s2-e-s2h","","","12318",""
"receiver","r-s-e-r","","","12330",""
"beauteous","b-t-u-s","","","12333",""
"curb","k-r-b","","","12334",""
"standpoint","s2-tn-o-e","","","12335",""
"openings","o-p-n-/-s","","","12341",""
"dint","d-e-nt","","","12344",""
"grind","g-r-i-nt","","","12364",""
"jelly","j-e-l-e","","","12378",""
"explicit","e-s-p-l-e-s2-t","","","12393",""
"descriptive","d-s2-k-r-v","","","12394",""
"legacy","l-e-g-s-e","","","12398",""
"gem","j-e-m","","","12417",""
"concentrate","k-s2-n-/-t","","","12420",""
"impotent","m-p-o-tn-t","","","12421",""
"legion","l-e-j-n","","","12431",""
"dizzy","d-e-s-e","","","12434",""
"southwest","s2-u","","","12438",""
"fictitious","f-e-k-t-e-sh","","","12440",""
"incur","n-k-r","","","12442",""
"illegal","e-l-e-g","","","12443",""
"arctic","a-r-k-t-e-k","","","12464",""
"percent","p-r-s2-e-nt","","","12480",""
"mortgage","m-o-r","","","12504",""
"emerge","e-m-e-j","","","12510",""
"distraction","d-s-/-k-sh","","","12524",""
"miscellaneous","m-s-e-l-a-n","","","12528",""
"martyrdom","m-a2-t-e-tm","","","12536",""
"injunction","n-j-nk","","","12549",""
"fastidious","f-a-s2-td-u-s","","","12552",""
"classification","k-l-a-s-/-f","","","12555",""
"revision","r-v-e-sh","","","12556",""
"havoc","^-h-\-a-v-k","","","12570",""
"vacancy","v-a-k-n-s-e","","","12575",""
"digest","d-j-e-s","","","12582",""
"mercantile","m-e-r-k-t","","","12606",""
"bailiff","b-a-l-f","","","12637",""
"immoral","e-m-o-r-l","","","12648",""
"graduated","g-r-a-d-e-u-td","","","12657",""
"adjust","a-j-u-s","","","12661",""
"hapless","^-h-\-a-p-l","","","12662",""
"membership","mn-b-r-/-sh","","","12669",""
"aerial","a-r-l","","","12671",""
"indistinct","nt-s2-t","","","12674",""
"incidentally","n-s2-e-tn-ye","","","12679",""
"myth","m-e-th","","","12697",""
"axis","a-k-ss","","","12700",""
"assassin","a2-ss2-n","","","12706",""
"forge","f-j","","","12719",""
"barbarian","b-a-r-b-r-ea-n","","","12732",""
"absorption","a-b-s2-o-p-sh","","","12734",""
"armchair","a2-m-ch-a2","","","12738",""
"finances","f-e-n-a-n-ss","","","12749",""
"godly","g-d-e","","","12760",""
"monastic","mn-/-s2-t","","","12766",""
"organize","o-g","","","12767",""
"despotic","d-s-p-/-a","","","12792",""
"exploit","e-s-p-l-o-e","","","12803",""
"intrusion","n-/-sh","","","12807",""
"degenerate","d-j-e-n-r-a","","","12809",""
"specifically","s-p-e-s-/-k-e","","","12834",""
"fete","f-e-t","","","12857",""
"impious","m-p-u-s","","","12868",""
"hourly","r-e","","","12873",""
"athletic","a2-th-l-/-a2","","","12884",""
"immovable","e-m-u-/-b","","","12897",""
"covert","k-v-e2-t","","","12936",""
"insert","n-s2-e2-t","","","12943",""
"atom","a-tm","","","12950",""
"lonesome","l-o-n-s2-m","","","12957",""
"aspire","a-s-p-i","","","12960",""
"ascetic","a-s-/-a","","","12978",""
"sympathize","s2-e-m-th-i-s","","","12988",""
"clutch","k-l-ch","","","12989",""
"salad","s-a-l-a-d","","","12991",""
"adhere","a-d-^-h-\-e2","","","12996",""
"cite","s2-i-t","","","13001",""
"eligible","e-l-e-j-b","","","13022",""
"morale","m-o-r-a-l","","","13025",""
"expulsion","e-s-p-l-sh","","","13051",""
"authoritative","o-th-rdf","","","13057",""
"ironical","i-r-n-/-k","","","13060",""
"faithless","f-a-th2-l","","","13069",""
"tubes","t-e-u-b-s","","","13071",""
"pending","jnt-\-h","","","13078",""
"perch","p-e-r-ch","","","13083",""
"meridian","m-e2-d-e2a-n","","","13089",""
"stationary","s2-t-sh-e2-e2","","","13091",""
"trips","t-r-e-p-s","","","13093",""
"civic","s2-v-k","","","13097",""
"scarf","s2-k-a-r-f","","","13108",""
"efficacy","e-f-k-s-e","","","13110",""
"Leipzig","l-i-p-s2-g","","","13126",""
"domination","d-o-mn-sh","","","13150",""
"fry","f-r-i","","","13152",""
"housekeeping","^-h-\-u-s2-k-p-\-h","","","13169",""
"expiration","e-s-p-r-a-sh","","","13171",""
"manure","mn-r","","","13174",""
"ant","a-nt","","","13176",""
"lunatic","l-u-n-/-a","","","13183",""
"cleanliness","k-l-e-n-e-n-e-s","","","13184",""
"multiple","m-u-/-p-l","","","13195",""
"Portland","p-o-t-l-a-nt","","","13206",""
"decrease","d-e-k-r-e-s","","","13208",""
"prosecute","p-r-s2-k","","","13211",""
"conjure","k-j-u","","","13212",""
"constraint","k-s2-/-nt","","","13233",""
"embroidery","m-b-r-o-e2-d-e2-e2","","","13237",""
"cooperation","k-o-o-p","","","13246",""
"fabulous","f-a-b-u-s","","","13247",""
"treasurer","t-r-e-sh-u-/-r","","","13294",""
"Worcester","u-u-s2-t-e2","","","13309",""
"observant","o-b-s-e-/-nt","","","13311",""
"ditto","td-o","","","13320",""
"forgave","f-g-a","","","13342",""
"mended","mn-td","","","13358",""
"inquisition","n-k-e-s-sh","","","13361",""
"altitude","a-l-t-e-t","","","13376",""
"dough","d-o","","","13379",""
"glacier","g-l-a-sh-e2","","","13392",""
"tangible","tn-j-b","","","13397",""
"mahogany","m-^-h-\-o-g-n-e","","","13398",""
"requests","r-k-e-s-s","","","13400",""
"firmament","f-e-m-a-m","","","13406",""
"eke","e-k","","","13411",""
"filth","f-e-l-th","","","13417",""
"expectancy","e-s-p-n-s-e","","","13422",""
"Bordeaux","b-o-d-o","","","13424",""
"furtive","f-df","","","13426",""
"consigned","k-s2-i-nt","","","13437",""
"postpone","p-/-p-o-n","","","13444",""
"memorandum","mn-o","","","13450",""
"ankle","a-nk-l","","","13452",""
"constituents","k-s2-nt-s","","","13453",""
"lure","l-r","","","13463",""
"contingent","k-tn-jnt","","","13477",""
"pyramid","p-e2-m-e-d","","","13482",""
"franchise","f-r-a-n-ch","","","13483",""
"innocently","e-n-o-s-e","","","13486",""
"locomotive","l-o-k-m-o-df","","","13490",""
"dessert","d-s2-e2-t","","","13526",""
"ascribe","a-s2-k-r","","","13531",""
"cot","k-o-t","","","13557",""
"candy","k-d-e","","","13562",""
"enormously","e-n-o-m-e","","","13569",""
"equilibrium","e-k-w-e-l-e-b","","","13593",""
"creditable","k-r-e-/-b","","","13620",""
"farthing","f-a-th2-\-h","","","13624",""
"publicity","p-b-/-s2","","","13625",""
"courted","k-o-td","","","13645",""
"excel","e-s2-l","","","13651",""
"northeast","n-e-s","","","13656",""
"heath","^-h-\-e-th","","","13672",""
"cologne","k-o-l-o-n","","","13675",""
"maze","m-a-s","","","13678",""
"ballot","b-a-l-o-t","","","13692",""
"invariable","n-v-a-r-b","","","13739",""
"genesis","j-e-n-ss","","","13745",""
"clamor","k-l-a-m-e2","","","13746",""
"Lisbon","l-e-s-b-n","","","13748",""
"disorderly","d-s2-o-d-e","","","13749",""
"lurid","l-r-e-d","","","13759",""
"manor","mn-e2","","","13799",""
"football","f-u-t-b-o-l","","","13838",""
"arithmetic","a-r-e-th","","","13839",""
"journalist","j-e-n-/-s2-t","","","13876",""
"conceited","k-s2-e-td","","","13882",""
"educate","e-d-u","","","13892",""
"elk","e-l-k","","","13898",""
"lyre","l-i-r","","","13902",""
"fray","f-r-a","","","13912",""
"frequency","f-r-e-k","","","13917",""
"magnanimity","m-/-n-/-mt","","","13943",""
"zinc","s2-e-nk","","","13950",""
"celebrity","s-e-l-e-b-/-r","","","13955",""
"ingenuous","n-j-n-u-u-s","","","13956",""
"bayonet","b-a-n-e-t","","","13964",""
"tempo","tm-p-o","","","13968",""
"unchanged","n-ch-/-t","","","13983",""
"scholarship","s2-k-l-r-/-sh","","","13998",""
"convoy","k-v-o-e","","","14010",""
"triangle","t-r-ia-ng","","","14012",""
"adorable","a-d-o-r-b","","","14013",""
"judgement","j-j-m","","","14014",""
"noiseless","n-o-e-s-l","","","14028",""
"picnic","p-k-n-e-k","","","14033",""
"supplement","s-p-l-e-m","","","14044",""
"deluge","d-e-l-j","","","14047",""
"hydrogen","^-h-\-i-d-r-o-j","","","14055",""
"arable","a-r-b","","","14058",""
"tort","t-o-t","","","14064",""
"absorb","a-b-s2-o-b","","","14073",""
"annum","a-n-u-m","","","14079",""
"bolder","b-o-ld-r","","","14090",""
"nuisance","n-u-s2-n-s","","","14106",""
"tennis","tn-e-s","","","14114",""
"allowable","a-l-b","","","14131",""
"oblong","o-b-l-ng","","","14133",""
"census","s2-e-n-ss","","","14142",""
"ineffable","e-n-e-f","","","14144",""
"diminutive","tm-e-n-e-u","","","14149",""
"credulity","k-r-e-d-/-l","","","14158",""
"whereabouts","a-r-a-b-s","","","14170",""
"apologize","a-p-/-o2-i-s","","","14176",""
"animosity","a-n-e-m-/-s","","","14181",""
"cumulative","k-e-u-m-/-u-v","","","14184",""
"remit","r-e-m","","","14188",""
"lateral","l-a-t-l","","","14189",""
"listless","l-s-l","","","14191",""
"imperceptible","m-p-r-s-e-p","","","14210",""
"pronoun","p-r-n-n","","","14229",""
"dewy","d-u-e","","","14238",""
"astonish","a-s2-tn-sh","","","14242",""
"sash","s-a-sh","","","14246",""
"oration","o-r-a-sh","","","14248",""
"commodore","k-m-o-d-r","","","14253",""
"Melbourne","m-e-l-b","","","14266",""
"chord","k-o-d","","","14274",""
"unacquainted","n-a-k-a-/-t","","","14278",""
"carrier","k-a-e-/-r","","","14313",""
"enlighten","n-l-i-n","","","14335",""
"Mohammedan","m-^-h-\-a-m-tn","","","14359",""
"budget","b-j-e-t","","","14360",""
"gall","g-o-l","","","14367",""
"collector","k-o-l-r","","","14371",""
"basement","b-a-s2-m","","","14376",""
"meditate","m-e-td-a-t","","","14377",""
"denounce","tn-n-s","","","14383",""
"knotted","n-o-td","","","14387",""
"motley","m-o-t-l-e","","","14400",""
"seconded","s2-e-k-nt-d","","","14405",""
"participate","p-t-e-s-p","","","14417",""
"compulsion","k-p-l-sh","","","14426",""
"psalm","s2-a-m","","","14433",""
"fervor","f-e-v-r","","","14441",""
"exceptionally","s-e-p-sh-ye","","","14451",""
"maple","m-a-p-l","","","14466",""
"exhaust","e-s2-o-s","","","14470",""
"mitt","m-e-t","","","14476",""
"dodge","d-o-j","","","14480",""
"impunity","m-p-e-u-/-nt","","","14498",""
"inveterate","n-v-e-t-r-a","","","14500",""
"prospective","p-r-s-p-/-v","","","14510",""
"defendant","df-t","","","14531",""
"focus","f-k-u-s","","","14532",""
"condescension","k-d-s2-e-n-sh","","","14538",""
"transit","t-/-t","","","14568",""
"astronomy","a-s2-t-r-o-n","","","14570",""
"aperture","a-p-e2-t-r","","","14586",""
"Detroit","d-/-o-e","","","14587",""
"mobile","m-o-b-l","","","14593",""
"bothered","b-o-th-/-t","","","14601",""
"irresponsible","e-r-s-p","","","14616",""
"intrinsic","n-/-n-s2-k","","","14619",""
"demeanor","tm-e-n-e2","","","14624",""
"conflagration","k-f-l-a-g","","","14630",""
"extinguish","e-s2-t-e-ng","","","14632",""
"consort","k-s2-o-t","","","14642",""
"cone","k-o-n","","","14671",""
"hose","^-h-\-o-s","","","14674",""
"durable","d-r-b","","","14675",""
"symmetry","s2-e-m-e-t-r-e","","","14681",""
"unavoidable","n-v-o-e","","","14693",""
"digit","d-e-j-t","","","14694",""
"shortened","sh-/-nt","","","14700",""
"homestead","^-h-\-o-m-s2-td","","","14715",""
"discordant","d-s2-k-o-tn","","","14725",""
"impertinence","m-p-e2-tn-e2-n-s","","","14727",""
"coronation","k-r-o-n-sh","","","14729",""
"defer","df-r","","","14733",""
"sells","s-e-l-s","","","14742",""
"octave","o-k-df","","","14771",""
"zip","s-e-p","","","14779",""
"surest","shs2-t","","","14782",""
"item","a-tm","","","14786",""
"Morocco","m-o-r-o-k","","","14796",""
"enlist","n-l-s","","","14803",""
"immemorial","e-mn-o-r-l","","","14816",""
"concord","k-k-o-d","","","14827",""
"cholera","k-o-l-r-a","","","14831",""
"accomplice","a-k-p-l-e-s","","","14836",""
"Idaho","i-d","","","14861",""
"unfriendly","n-f-r","","","14873",""
"bankrupt","b-a-nk-p","","","14888",""
"rheumatism","r-u-m-a-t-s2-m","","","14930",""
"indoors","nt-o-r-s","","","14943",""
"lighten","l-i-n","","","14944",""
"southeast","s-e-s","","","14949",""
"heather","^-h-\-e-th","","","14959",""
"thanksgiving","th-/-s2-g-e-\-h","","","14967",""
"manufacturer","mn-f-r","","","14981",""
"credulous","k-r-e-d-l-u-s","","","15008",""
"auxiliary","o-s-e-l-r-e","","","15021",""
"decorum","d-e-k-o-r-m","","","15024",""
"sewed","s2-o-d","","","15041",""
"confront","k-f-r-nt","","","15050",""
"err","e-r","","","15076",""
"mace","m-a-s","","","15083",""
"civilian","s2-v-/-ea-n","","","15088",""
"nap","n-a-p","","","15093",""
"magnanimous","m-/-n","","","15101",""
"freeze","f-r-e-s","","","15122",""
"fanaticism","f-a-n-a-t-ss","","","15143",""
"exalt","e-s2-o-l-t","","","15152",""
"nucleus","n-u-k-l-u-s","","","15158",""
"cinnamon","s2-e-n-a-mn","","","15161",""
"adjourned","a-j-e2-nt","","","15170",""
"aptitude","a-p-t-e-t","","","15178",""
"graphic","g-r-a-f-k","","","15182",""
"ethereal","e-th2-l","","","15197",""
"mortally","m-o-t-ye","","","15208",""
"matchless","m-a-ch-l","","","15212",""
"patrol","p-t-r-o-l","","","15223",""
"refreshments","r-f-r-e-sh-m-s","","","15225",""
"blouse","b-l-a-u-s","","","15235",""
"debtor","td-e2","","","15252",""
"finite","f-i-n-i","","","15278",""
"frugal","f-r-u-g","","","15292",""
"metaphor","m-e-t-f-r","","","15300",""
"peach","p-e-ch","","","15305",""
"compiled","k-p-i-ld","","","15310",""
"compensate","k-p-n-s-a","","","15328",""
"designate","d-s2-e-g","","","15329",""
"reservation","r-s-a-sh","","","15330",""
"noteworthy","n-o-t-th-e","","","15332",""
"clown","k-l-n","","","15342",""
"conduit","k-d-e-t","","","15347",""
"detest","td-e-s","","","15353",""
"secession","s-e-s-e-sh","","","15361",""
"medieval","m-e-d-e-v","","","15364",""
"intrude","n-/-d","","","15373",""
"buoyant","b-o-e-nt","","","15387",""
"daytime","d-a-tm","","","15392",""
"consummation","k-s2-m-a-sh","","","15401",""
"cloudless","k-l-a-u-l","","","15454",""
"kitten","k-e-tn","","","15457",""
"matrimony","m-a-t-r-e-mn-e","","","15461",""
"disappoint","d-o-e","","","15468",""
"enclose","n-k","","","15493",""
"ode","o-d","","","15494",""
"heeded","^-h-\-e-td","","","15502",""
"heretic","^-h-\-e-r-/-a","","","15510",""
"lounge","l-n-j","","","15511",""
"implicit","m-p-l-e-s2-t","","","15532",""
"sew","s2-o","","","15551",""
"dealers","d-e2-/-r-s","","","15554",""
"magnet","m-/-t","","","15568",""
"register","r-e2-j-e2-s2-t-e2","","","15633",""
"styles","s2-t-i-l-s","","","15643",""
"oblivious","o-b-l-e-v","","","15656",""
"hurl","^-h-\-e-r-l","","","15666",""
"juvenile","j-u-v-n-l","","","15673",""
"pulp","p-l-p","","","15675",""
"regent","r-jnt","","","15676",""
"bygone","b-g-n","","","15679",""
"anterior","a-/-o-r","","","15714",""
"tenacity","tn-/-s","","","15747",""
"overwhelm","o-/-u-e-l-m","","","15768",""
"movable","m-u-/-b","","","15770",""
"rented","r-e-nt-d","","","15787",""
"carcass","k-a-k-a-s","","","15801",""
